"County","City","Facility","Address","Vaccine Types","Appt Available","Scheduling Site","Info Website","Email","Phone","Instructions for Public","Walk-In Instructions","Last Updated"
"Adams","Othello","CONNELL FAMILY CLINIC","1515 E. Columbia St, Othello, WA 99344","Unknown","true","","","","(509) 488-5256","","","2/17/2021 7:20 PM"
"Adams","Othello","Othello Community Hospital","315 N 14th Avenue, Othello, WA 99344","Unknown","false","","https://www.othellocommunityhospital.org/","","(509) 331-2676","BY APPOINTMENT ONLY, please call Covid vaccine line at (509) 331-2676 and leave a message to schedule an appointment. Someone will return your call within 48 hours Monday - Friday.","","2/21/2021 8:24 AM"
"Adams","Ritzville","East Adams Rural Healthcare","903 S Adams St, Ritzville, WA 99169","Unknown","false","","http://Earh.org","jpepperd@earh.org","(509) 659-1200","","","2/21/2021 9:09 AM"
"Asotin","Clarkston","Tri-State Memorial Hospital","1221 Highland Avenue, Clarkston, WA 99403","Pfizer|Moderna","true","","https://tristatehospital.org","","(509) 769-2215","Please call the scheduling phone number to arrange an appointment. Vaccines are by appointment only.","Walk-in not available","2/21/2021 1:12 PM"
"Asotin","Clarkston","CLARKSON COSTCO","301 Fifth Street, Clarkston, WA 99403","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctx9xpqe/?&e_id=4985","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/21/2021 9:06 AM"
"Benton","Grandview","SAFEWAY #27-1593","610 E Wine Country Rd, Grandview, WA 98930","Unknown","true","https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyGrandview","","","","Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine.","","2/3/2021 11:23 AM"
"Benton","Kennewick","ON SCENE MEDICAL SERVICES","7511 West Arrowhead Ave. S, Kennewick, WA 99336","Unknown","false","","https://www.OnSceneMed.com","Info@onscenemed.com","","","","2/18/2021 10:10 PM"
"Benton","Kennewick","SAFEWAY #27-0335","2825 W Kennewick Ave, Kennewick, WA 99336","Unknown","true","https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyKennewick","","","","Appointments are required. Scheduling using our link. If there are no spots on the scheduling link, all appointments have been filled. More appointments will be added as we receive more vaccine. Please do not call the pharmacy to inquire about additional dates.","","2/3/2021 8:15 PM"
"Benton","Kennewick","FRED MEYER PHARMACY 70100163","2811 W 10th Ave, Kennewick, WA 99336","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","509-735-8733","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/11/2021 8:19 AM"
"Benton","Kennewick","KENNEWICK COSTCO","8505 West Gage Blvd, Kennewick, WA 99336","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctxbqvnc/?&e_id=4973","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/21/2021 9:10 AM"
"Benton","Prosser","Prosser Memorial Hospital","723 Memorial St, Prosser, WA 99350","Unknown","false","","https://www.prosserhealth.org","connect@prosserhealth.org","(509) 788-6035","","","2/21/2021 10:56 AM"
"Benton","Prosser","YVFWC VALLEY VISTA MEDICAL GRP","820 Memorial St. Suite 1, Prosser, WA 99350","Unknown","false","","","quality@yvfwc.org","","","","2/20/2021 10:13 PM"
"Benton","Richland","Health First Urgent Care","37 Columbia Point Dr, Richland, WA 99352","Unknown","true","","","","509-300-1500","","","2/9/2021 10:11 AM"
"Benton","Richland","Kadlec Regional Medical Center","888 Swift Blvd, Richland, WA 99352","Unknown","false","https://providencecovidvaccinewamt.squarespace.com/kadlec","","","","","","2/19/2021 1:46 PM"
"Benton","Richland","FRED MEYER PHARMACY 70100286","101 Wellsian Way, Richland, WA 99352","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","509-943-8358","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/11/2021 8:32 AM"
"Chelan","Chelan","Lake Chelan Community Hospital & Clinics","503 E Highland, Chelan, WA 98816","Unknown","false","http://cdhd.wa.gov","http://lakechelanhealth.org","","","","","2/20/2021 8:38 PM"
"Chelan","Leavenworth","Cascade Medical","817 Commercial St, Leavenworth, WA 98826","Unknown","false","http://bit.ly/2OV68Nh","https://cascademedical.org/keeping-you-informed-covid-19","covidvaccine@cascademedical.org","(509) 548-2517","Please note that appointments are required and we are currently scheduling from a waitlist. If you have internet service, please fill out the online form and we will call you when an appointment becomes available for you. If you do not have internet service, call our COVID immunization hotline at the phone number listed and leave your name, number, and whether you are currently eligible to receive immunization.","","2/19/2021 9:34 AM"
"Chelan","Wenatchee","Confluence Health/Central Washington Hospital","1201 S. Miller St., Wenatchee, WA 98801","Unknown","false","","","","(509) 663-8711","Appointments are required. Please call 509-663-8711 to schedule an appointment. If there are no appointments upon the time of call, all appointments have been filled. Additional clinic dates will be added when we receive more vaccine.","","2/21/2021 12:47 PM"
